county_fips,county,state,annual_zhvi_2015,annual_zhvi_2024,median_household_income_2015,median_household_income_2024,payment_burden_2015_pct,payment_burden_2024_pct,zhvi_growth_pct,income_growth_pct,payment_growth_pct,burden_change_pp
08033,Dolores County,CO,199317.52,325329.99,44829.0,61951.0,20.01,32.6,63.22,38.19,125.14,12.59
08035,Douglas County,CO,418176.85,734711.32,109926.0,152657.0,17.12,29.88,75.69,38.87,142.34,12.76
08039,Elbert County,CO,360761.46,697194.16,90270.0,128776.0,17.99,33.61,93.26,42.66,166.56,15.62
08041,El Paso County,CO,240778.25,471305.8,60050.0,90778.0,18.05,32.23,95.74,51.17,169.99,14.18
08045,Garfield County,CO,319218.12,660969.09,64487.0,91858.0,22.28,44.67,107.06,42.44,185.6,22.39
08047,Gilpin County,CO,270309.9,561845.03,67389.0,96815.0,18.05,36.03,107.85,43.67,186.69,17.97
08049,Grand County,CO,303900.11,759724.24,59885.0,91454.0,22.84,51.57,149.99,52.72,244.82,28.73
08051,Gunnison County,CO,307571.67,697547.16,47619.0,79949.0,29.07,54.17,126.79,67.89,212.82,25.09
08055,Huerfano County,CO,122954.61,277685.8,33098.0,48817.0,16.72,35.31,125.84,47.49,211.51,18.59
08059,Jefferson County,CO,332005.29,645380.09,71209.0,109969.0,20.98,36.43,94.39,54.43,168.12,15.45
08061,Kiowa County,CO,77777.31,196681.75,42108.0,62052.0,8.31,19.68,152.88,47.36,248.8,11.36
08065,Lake County,CO,183825.2,497790.93,45913.0,76314.0,18.02,40.5,170.8,66.21,273.51,22.47
08067,La Plata County,CO,361160.64,661431.23,60732.0,88759.0,26.77,46.26,83.14,46.15,152.61,19.5
08069,Larimer County,CO,311581.78,565518.46,64935.0,93518.0,21.6,37.54,81.5,44.02,150.35,15.94
08071,Las Animas County,CO,110969.49,255983.16,38858.0,51562.0,12.85,30.82,130.68,32.69,218.18,17.97
08073,Lincoln County,CO,114128.74,248713.99,43188.0,60865.0,11.89,25.37,117.92,40.93,200.59,13.47
08075,Logan County,CO,124027.8,243502.05,46306.0,64710.0,12.06,23.36,96.33,39.74,170.8,11.31
08077,Mesa County,CO,206496.31,412603.46,51449.0,73997.0,18.06,34.62,99.81,43.83,175.6,16.55
08081,Moffat County,CO,160165.8,292700.34,59173.0,74252.0,12.18,24.47,82.75,25.48,152.07,12.29
08083,Montezuma County,CO,220796.58,399239.27,42975.0,66611.0,23.12,37.21,80.82,55.0,149.41,14.08
08085,Montrose County,CO,207887.83,440564.18,46860.0,72338.0,19.97,37.81,111.92,54.37,192.31,17.84
08087,Morgan County,CO,154026.51,333314.73,49087.0,69828.0,14.12,29.63,116.4,42.25,198.49,15.51
08089,Otero County,CO,74209.26,163718.09,34970.0,51225.0,9.55,19.84,120.62,46.48,204.3,10.29
08091,Ouray County,CO,364560.49,780439.82,60402.0,98611.0,27.17,49.13,114.08,63.26,195.28,21.97
08093,Park County,CO,240773.49,538197.14,63319.0,98187.0,17.11,34.03,123.53,55.07,208.32,16.91
08097,Pitkin County,CO,1127499.48,2371718.75,76663.0,119658.0,66.2,123.05,110.35,56.08,190.14,56.86
08099,Prowers County,CO,79702.58,178302.33,41348.0,53748.0,8.68,20.59,123.71,29.99,208.57,11.92
08103,Rio Blanco County,CO,188699.73,305009.63,61426.0,72651.0,13.83,26.06,61.64,18.27,122.95,12.24
08105,Rio Grande County,CO,145062.99,304792.4,40259.0,59812.0,16.22,31.64,110.11,48.57,189.81,15.42
08107,Routt County,CO,425588.63,1076308.14,70989.0,112777.0,26.98,59.25,152.9,58.87,248.83,32.27
08109,Saguache County,CO,119732.12,247354.19,34209.0,48755.0,15.75,31.5,106.59,42.52,184.95,15.74
08111,San Juan County,CO,258275.39,545848.75,43489.0,65231.0,26.73,51.95,111.34,49.99,191.51,25.22
08113,San Miguel County,CO,672198.86,1488936.36,62793.0,108571.0,48.18,85.14,121.5,72.9,205.52,36.96
08117,Summit County,CO,467815.47,1010372.97,69633.0,118690.0,30.24,52.85,115.98,70.45,197.9,22.61
08119,Teller County,CO,224639.11,492370.66,66191.0,87171.0,15.28,35.07,119.18,31.7,202.32,19.79
08123,Weld County,CO,266060.3,510923.27,69434.0,100638.0,17.25,31.52,92.03,44.94,164.87,14.27
08125,Yuma County,CO,143677.84,261558.02,48934.0,60621.0,13.22,26.79,82.04,23.88,151.1,13.57
10001,Kent County,DE,198614.48,355618.79,55678.0,78240.0,16.06,28.22,79.05,40.52,146.97,12.16
10003,New Castle County,DE,216709.51,349539.4,66179.0,89750.0,14.74,24.18,61.29,35.62,122.48,9.44
10005,Sussex County,DE,296185.9,493226.2,54309.0,84917.0,24.55,36.06,66.53,56.36,129.69,11.51
11001,District of Columbia,DC,485458.21,611815.17,73115.0,109289.0,29.88,34.75,26.03,49.48,73.83,4.87
12001,Alachua County,FL,159759.94,316406.79,47023.0,65127.0,15.29,30.16,98.05,38.5,173.18,14.87
12003,Baker County,FL,148636.9,306706.9,50883.0,78227.0,13.15,24.34,106.35,53.74,184.62,11.19
12005,Bay County,FL,178644.06,362818.02,47745.0,76080.0,16.84,29.61,103.1,59.35,180.13,12.77
12007,Bradford County,FL,110371.7,248032.09,40879.0,58527.0,12.15,26.31,124.72,43.17,209.97,14.16
12009,Brevard County,FL,159938.34,364824.58,50352.0,78154.0,14.3,28.98,128.1,55.22,214.63,14.68
12011,Broward County,FL,206838.61,455337.28,53624.0,81337.0,17.36,34.75,120.14,51.68,203.65,17.39
12013,Calhoun County,FL,94217.13,185768.07,36062.0,53701.0,11.76,21.48,97.17,48.91,171.96,9.72
12015,Charlotte County,FL,169012.39,363694.62,45495.0,72816.0,16.72,31.01,115.19,60.05,196.81,14.29
12017,Citrus County,FL,118274.59,289156.41,39982.0,59737.0,13.31,30.05,144.48,49.41,237.21,16.74
12019,Clay County,FL,168027.34,348701.88,59244.0,89972.0,12.77,24.06,107.53,51.87,186.25,11.3
12021,Collier County,FL,319477.27,620464.9,62385.0,97022.0,23.05,39.7,94.21,55.52,167.88,16.65
12023,Columbia County,FL,120747.3,269055.81,43303.0,62511.0,12.55,26.72,122.83,44.36,207.35,14.17
12027,De Soto County,FL,103234.12,268657.34,34380.0,57325.0,13.51,29.09,160.24,66.74,258.96,15.58
12029,Dixie County,FL,100651.46,215174.36,35749.0,50887.0,12.67,26.25,113.78,42.35,194.87,13.58
12031,Duval County,FL,142370.76,311646.57,49565.0,73638.0,12.93,26.27,118.9,48.57,201.93,13.35
12033,Escambia County,FL,134032.32,286709.29,45735.0,66861.0,13.19,26.62,113.91,46.19,195.05,13.43
12035,Flagler County,FL,189344.4,376955.21,50347.0,84156.0,16.93,27.81,99.08,67.15,174.6,10.88
12037,Franklin County,FL,226458.95,466938.56,38220.0,58831.0,26.67,49.27,106.19,53.93,184.4,22.61
